year,coverage_note,theme,label,count,year_total,share_pct
2025,full_year,T7_runtime_monitor_intervention,Runtime monitoring & intervention,112,1438,7.789
2025,full_year,T8_formal_safety_control,Formal safety & control,75,1438,5.216
2025,full_year,T9_scenario_testing_validation,Scenario testing & validation,73,1438,5.076
2025,full_year,T10_cooperative_multiagent,Cooperative & multi-agent systems,246,1438,17.107
2026,partial_through_2026-07-31,T1_motion_prediction,Motion prediction,127,900,14.111
2026,partial_through_2026-07-31,T2_planning_decision,Planning & decision,491,900,54.556
2026,partial_through_2026-07-31,T3_uncertainty_probabilistic,Uncertainty & probabilistic modeling,337,900,37.444
2026,partial_through_2026-07-31,T4_calibration_statistical,Calibration & statistical guarantees,27,900,3.0
2026,partial_through_2026-07-31,T5_shift_ood_failure,"Shift, OOD & failure detection",92,900,10.222
2026,partial_through_2026-07-31,T6_risk_aware_propagation,Risk-aware decision & propagation,166,900,18.444
2026,partial_through_2026-07-31,T7_runtime_monitor_intervention,Runtime monitoring & intervention,86,900,9.556
2026,partial_through_2026-07-31,T8_formal_safety_control,Formal safety & control,44,900,4.889
2026,partial_through_2026-07-31,T9_scenario_testing_validation,Scenario testing & validation,60,900,6.667
2026,partial_through_2026-07-31,T10_cooperative_multiagent,Cooperative & multi-agent systems,191,900,21.222
