signature,count,share_pct
none,3681,53.294
1,2033,29.434
4,288,4.17
5,285,4.126
15,218,3.156
14,103,1.491
13,82,1.187
45,49,0.709
12,48,0.695
135,25,0.362
145,24,0.347
3,20,0.29
2,14,0.203
124,8,0.116
35,6,0.087
123,5,0.072
134,4,0.058
25,4,0.058
125,4,0.058
1235,2,0.029
34,1,0.014
24,1,0.014
1234,1,0.014
23,1,0.014
