bib_key,entry_type,title,authors,year,venue,doi,url
Dai2025Advancing,inproceedings,Advancing Autonomous Vehicle Safety: A Combined Fault Tree Analysis and Bayesian Network Approach,"Dai, Lansu and Kantarci, Burak",2025,"IEEE International Conference on Engineering Reliable Autonomous Systems, ERAS 2025 - Proceedings",10.1109/eras63351.2025.11135617,https://doi.org/10.1109/eras63351.2025.11135617
Zhao2022FormalCertification,article,Formal Certification Methods for Automated Vehicle Safety Assessment,Tong Zhao and Ekim Yurtsever and Joel A. Paulson and Giorgio Rizzoni,2022,IEEE Transactions on Intelligent Vehicles,10.1109/tiv.2022.3170517,https://doi.org/10.1109/TIV.2022.3170517
Zhu2025ControlRevision,inproceedings,A Generalized Control Revision Method for Autonomous Driving Safety,Zehang Zhu and Yuning Wang and Tianqi Ke and Zeyu Han and Shaobing Xu and Qing Xu and John M. Dolan and Jianqiang Wang,2025,Proceedings of the IEEE International Conference on Robotics and Automation,10.1109/icra55743.2025.11128206,https://doi.org/10.1109/ICRA55743.2025.11128206
Zhao2025InvariantTubes,article,"Fast, Safe and Robust Motion Planning for Autonomous Vehicles Based on Robust Control Invariant Tubes",Mingzhuo Zhao and Tong Shen and Fanxun Wang and Guodong Yin,2025,Chinese Journal of Mechanical Engineering,10.1186/s10033-025-01216-8,https://doi.org/10.1186/s10033-025-01216-8
Meng2024NRRRT,article,NR-RRT: Neural Risk-Aware Near-Optimal Path Planning in Uncertain Nonconvex Environments,Fei Meng and Liangliang Chen and Han Ma and Jiankun Wang and Max Q.-H. Meng,2024,IEEE Transactions on Automation Science and Engineering,10.1109/tase.2022.3215562,https://doi.org/10.1109/TASE.2022.3215562
Puphal2022RiskMaps,article,Online and Predictive Warning System for Forced Lane Changes Using Risk Maps,T. Puphal and B. Flade and M. Probst and V. Willert and J. Adamy and J. Eggert,2022,IEEE Transactions on Intelligent Vehicles,10.1109/tiv.2021.3091188,https://doi.org/10.1109/TIV.2021.3091188
Tolksdorf2026EmergencySteering,article,Enhancing Pedestrian Safety Through Automated Emergency Steering: Design and Experimental Validation of a Risk-Based Architecture,Leon Tolksdorf and Manuel Munoz Sanchez and Christian Loeffler and Timm F. Gloger and Yannick Fischer and Robin Smit and Chris van der Ploeg,2026,IEEE Transactions on Intelligent Transportation Systems,10.1109/tits.2026.3676623,https://doi.org/10.1109/TITS.2026.3676623
Mustafa2025RACP,article,RACP: Risk-Aware Contingency Planning With Multi-Modal Predictions,Khaled A. Mustafa and Daniel Jarne Ornia and Jens Kober and Javier Alonso-Mora,2025,IEEE Transactions on Intelligent Vehicles,10.1109/tiv.2024.3411530,https://doi.org/10.1109/TIV.2024.3411530
Schuurmans2023DistributionallyRobustMPC,article,"Safe, Learning-Based MPC for Highway Driving under Lane-Change Uncertainty: A Distributionally Robust Approach",Mathijs Schuurmans and Alexander Katriniok and Christopher Meissen and H. Eric Tseng and Panagiotis Patrinos,2023,Artificial Intelligence,10.1016/j.artint.2023.103920,https://doi.org/10.1016/j.artint.2023.103920
Yang2026ReachableSetBarriers,article,Safe and Nonconservative Contingency Planning for Autonomous Vehicles via Online Learning-Based Reachable Set Barriers,Rui Yang and Lei Zheng and Shuzhi Sam Ge and Jun Ma,2026,IEEE Transactions on Control Systems Technology,10.1109/tcst.2026.3675339,https://doi.org/10.1109/TCST.2026.3675339
Xiao2023BarrierNet,article,BarrierNet: Differentiable Control Barrier Functions for Learning of Safe Robot Control,Wei Xiao and Tsun-Hsuan Wang and Ramin Hasani and Makram Chahine and Alexander Amini and Xiao Li and Daniela Rus,2023,IEEE Transactions on Robotics,10.1109/tro.2023.3249564,https://doi.org/10.1109/TRO.2023.3249564
Gao2023OnlineSafetyVerification,article,Online Safety Verification of Autonomous Driving Decision-Making Based on Dynamic Reachability Analysis,Fei Gao and Cheng Luo and Fangyuan Shi and Xianqing Chen and Zhenhai Gao and Rui Zhao,2023,IEEE Access,10.1109/access.2023.3300423,https://doi.org/10.1109/ACCESS.2023.3300423
Zhu2022Survey,article,A Survey of Deep RL and IL for Autonomous Driving Policy Learning,"Zhu, Zeyu and Zhao, Huijing",2022,IEEE Transactions on Intelligent Transportation Systems,10.1109/tits.2021.3134702,https://doi.org/10.1109/tits.2021.3134702
